Designator,Mid X,Mid Y,Rotation,Layer
C1,455.45,-254.54,90.0,top
C10,517.55,-254.52,90.0,top
C11,524.450001,-254.52,90.0,top
C12,531.35,-254.519999,90.0,top
C13,538.25,-254.5,90.0,top
C14,545.15,-254.519999,90.0,top
C15,552.05,-254.519999,90.0,top
C16,558.95,-254.519999,90.0,top
C17,565.85,-254.54,90.0,top
C18,572.75,-254.52,90.0,top
C19,579.65,-254.52,90.0,top
C2,462.35,-254.52,90.0,top
C20,586.55,-254.52,90.0,top
C21,593.45,-254.52,90.0,top
C22,600.35,-254.52,90.0,top
C23,607.250001,-254.52,90.0,top
C24,614.15,-254.519999,90.0,top
C25,621.05,-254.54,90.0,top
C26,627.95,-254.52,90.0,top
C27,634.85,-254.52,90.0,top
C28,641.75,-254.52,90.0,top
C29,648.65,-254.52,90.0,top
C3,469.25,-254.52,90.0,top
C30,655.55,-254.52,90.0,top
C31,662.450001,-254.52,90.0,top
C32,669.35,-254.519999,90.0,top
C33,676.25,-254.54,90.0,top
C34,683.15,-254.52,90.0,top
C35,690.05,-254.52,90.0,top
C36,696.95,-254.52,90.0,top
C37,703.85,-254.52,90.0,top
C38,710.75,-254.52,90.0,top
C39,717.650001,-254.52,90.0,top
C4,476.15,-254.52,90.0,top
C40,724.55,-254.519999,90.0,top
C5,483.05,-254.52,90.0,top
C6,489.95,-254.52,90.0,top
C7,496.85,-254.52,90.0,top
C8,503.75,-254.52,90.0,top
C9,510.65,-254.54,90.0,top
D1,452.5,-249.9,180.0,top
D10,514.6,-249.9,180.0,top
D11,521.5,-249.9,180.0,top
D12,528.4,-249.9,180.0,top
D13,535.3,-249.9,180.0,top
D14,542.2,-249.9,180.0,top
D15,549.1,-249.9,180.0,top
D16,556.0,-249.9,180.0,top
D17,562.9,-249.9,180.0,top
D18,569.8,-249.9,180.0,top
D19,576.7,-249.9,180.0,top
D2,459.4,-249.9,180.0,top
D20,583.6,-249.9,180.0,top
D21,590.5,-249.9,180.0,top
D22,597.4,-249.9,180.0,top
D23,604.3,-249.9,180.0,top
D24,611.2,-249.9,180.0,top
D25,618.1,-249.9,180.0,top
D26,625.0,-249.9,180.0,top
D27,631.9,-249.9,180.0,top
D28,638.8,-249.9,180.0,top
D29,645.7,-249.9,180.0,top
D3,466.3,-249.9,180.0,top
D30,652.6,-249.9,180.0,top
D31,659.5,-249.9,180.0,top
D32,666.4,-249.9,180.0,top
D33,673.3,-249.9,180.0,top
D34,680.2,-249.9,180.0,top
D35,687.1,-249.9,180.0,top
D36,694.0,-249.9,180.0,top
D37,700.9,-249.9,180.0,top
D38,707.8,-249.9,180.0,top
D39,714.7,-249.9,180.0,top
D4,473.2,-249.9,180.0,top
D40,721.6,-249.9,180.0,top
D5,480.1,-249.9,180.0,top
D6,487.0,-249.9,180.0,top
D7,493.9,-249.9,180.0,top
D8,500.8,-249.9,180.0,top
D9,507.7,-249.9,180.0,top
